dealer,color,month,month_name,si
DEALER 15,Grey3,10,Ekim,1.5
DEALER 15,Grey3,11,Kasım,1.35
DEALER 15,Grey3,12,Aralık,1.2
DEALER 15,White2,1,Ocak,0.6957
DEALER 15,White2,2,Şubat,1.0435
DEALER 15,White2,3,Mart,1.0435
DEALER 15,White2,4,Nisan,0.3478
DEALER 15,White2,5,Mayıs,0.8696
DEALER 15,White2,6,Haziran,1.0435
DEALER 15,White2,7,Temmuz,0.3478
DEALER 15,White2,8,Ağustos,1.5652
DEALER 15,White2,9,Eylül,0.5217
DEALER 15,White2,10,Ekim,1.2174
DEALER 15,White2,11,Kasım,1.3913
DEALER 15,White2,12,Aralık,1.913
DEALER 15,Beige,1,Ocak,0.4528
DEALER 15,Beige,2,Şubat,0.0
DEALER 15,Beige,3,Mart,0.9057
DEALER 15,Beige,4,Nisan,1.3585
DEALER 15,Beige,5,Mayıs,0.9057
DEALER 15,Beige,6,Haziran,1.1321
DEALER 15,Beige,7,Temmuz,1.3585
DEALER 15,Beige,8,Ağustos,0.9057
DEALER 15,Beige,9,Eylül,0.9057
DEALER 15,Beige,10,Ekim,1.1321
DEALER 15,Beige,11,Kasım,1.5849
DEALER 15,Beige,12,Aralık,1.3585
DEALER 15,White1,1,Ocak,2.4828
DEALER 15,White1,2,Şubat,1.4483
DEALER 15,White1,3,Mart,1.4483
DEALER 15,White1,4,Nisan,0.8276
DEALER 15,White1,5,Mayıs,0.8276
DEALER 15,White1,6,Haziran,0.0
DEALER 15,White1,7,Temmuz,0.6207
DEALER 15,White1,8,Ağustos,2.069
DEALER 15,White1,9,Eylül,0.4138
DEALER 15,White1,10,Ekim,0.6207
DEALER 15,White1,11,Kasım,0.4138
DEALER 15,White1,12,Aralık,0.8276
DEALER 15,Grey2,1,Ocak,1.4
DEALER 15,Grey2,2,Şubat,1.8
DEALER 15,Grey2,3,Mart,0.6
DEALER 15,Grey2,4,Nisan,0.4
DEALER 15,Grey2,5,Mayıs,2.4
DEALER 15,Grey2,6,Haziran,0.6
DEALER 15,Grey2,7,Temmuz,1.6
DEALER 15,Grey2,8,Ağustos,1.2
DEALER 15,Grey2,9,Eylül,0.4
DEALER 15,Grey2,10,Ekim,0.4
DEALER 15,Grey2,11,Kasım,0.4
DEALER 15,Grey2,12,Aralık,0.8
DEALER 16,Black1,1,Ocak,2.5263
DEALER 16,Black1,2,Şubat,1.1053
DEALER 16,Black1,3,Mart,1.4211
DEALER 16,Black1,4,Nisan,0.7895
DEALER 16,Black1,5,Mayıs,1.1053
DEALER 16,Black1,6,Haziran,0.7895
DEALER 16,Black1,7,Temmuz,0.9474
DEALER 16,Black1,8,Ağustos,0.6316
DEALER 16,Black1,9,Eylül,0.6316
DEALER 16,Black1,10,Ekim,0.9474
DEALER 16,Black1,11,Kasım,0.6316
DEALER 16,Black1,12,Aralık,0.4737
DEALER 16,Grey2,1,Ocak,3.1579
DEALER 16,Grey2,2,Şubat,1.4211
DEALER 16,Grey2,3,Mart,1.4211
DEALER 16,Grey2,4,Nisan,0.3158
DEALER 16,Grey2,5,Mayıs,0.6316
DEALER 16,Grey2,6,Haziran,0.7895
DEALER 16,Grey2,7,Temmuz,0.9474
DEALER 16,Grey2,8,Ağustos,0.9474
DEALER 16,Grey2,9,Eylül,0.3158
DEALER 16,Grey2,10,Ekim,0.7895
DEALER 16,Grey2,11,Kasım,0.9474
DEALER 16,Grey2,12,Aralık,0.3158
DEALER 16,Black2,1,Ocak,0.6316
DEALER 16,Black2,2,Şubat,1.2632
DEALER 16,Black2,3,Mart,0.4211
DEALER 16,Black2,4,Nisan,1.2632
DEALER 16,Black2,5,Mayıs,0.8421
DEALER 16,Black2,6,Haziran,1.0526
DEALER 16,Black2,7,Temmuz,0.8421
DEALER 16,Black2,8,Ağustos,1.6842
DEALER 16,Black2,9,Eylül,0.8421
DEALER 16,Black2,10,Ekim,1.2632
DEALER 16,Black2,11,Kasım,0.4211
DEALER 16,Black2,12,Aralık,1.4737
DEALER 16,Grey3,1,Ocak,0.4286
DEALER 16,Grey3,2,Şubat,1.5
DEALER 16,Grey3,3,Mart,1.2857
DEALER 16,Grey3,4,Nisan,0.4286
DEALER 16,Grey3,5,Mayıs,0.4286
DEALER 16,Grey3,6,Haziran,1.2857
DEALER 16,Grey3,7,Temmuz,1.2857
DEALER 16,Grey3,8,Ağustos,0.6429
DEALER 16,Grey3,9,Eylül,0.4286
DEALER 16,Grey3,10,Ekim,1.0714
DEALER 16,Grey3,11,Kasım,2.1429
DEALER 16,Grey3,12,Aralık,1.0714
DEALER 16,Beige,1,Ocak,1.3333
DEALER 16,Beige,2,Şubat,0.5333
DEALER 16,Beige,3,Mart,0.8
DEALER 16,Beige,4,Nisan,1.6
DEALER 16,Beige,5,Mayıs,0.0
DEALER 16,Beige,6,Haziran,1.0667
DEALER 16,Beige,7,Temmuz,1.3333
DEALER 16,Beige,8,Ağustos,0.0
DEALER 16,Beige,9,Eylül,1.0667
DEALER 16,Beige,10,Ekim,1.6
DEALER 16,Beige,11,Kasım,1.6
DEALER 16,Beige,12,Aralık,1.0667
DEALER 17,Grey3,1,Ocak,1.8031
DEALER 17,Grey3,2,Şubat,1.6166
DEALER 17,Grey3,3,Mart,0.3731
DEALER 17,Grey3,4,Nisan,0.6839
DEALER 17,Grey3,5,Mayıs,1.1192
DEALER 17,Grey3,6,Haziran,0.6839
DEALER 17,Grey3,7,Temmuz,2.9845
DEALER 17,Grey3,8,Ağustos,0.2487
DEALER 17,Grey3,9,Eylül,0.6218
DEALER 17,Grey3,10,Ekim,0.4974
DEALER 17,Grey3,11,Kasım,0.3109
DEALER 17,Grey3,12,Aralık,1.057
DEALER 17,Grey2,1,Ocak,1.1925
DEALER 17,Grey2,2,Şubat,1.3416
DEALER 17,Grey2,3,Mart,0.5217
DEALER 17,Grey2,4,Nisan,0.2981
DEALER 17,Grey2,5,Mayıs,4.1739
DEALER 17,Grey2,6,Haziran,0.1491
DEALER 17,Grey2,7,Temmuz,0.8944
DEALER 17,Grey2,8,Ağustos,0.5963
DEALER 17,Grey2,9,Eylül,1.9379
DEALER 17,Grey2,10,Ekim,0.4472
DEALER 17,Grey2,11,Kasım,0.1491
DEALER 17,Grey2,12,Aralık,0.2981
DEALER 17,White2,1,Ocak,0.6443
DEALER 17,White2,2,Şubat,0.3221
DEALER 17,White2,3,Mart,0.2416
DEALER 17,White2,4,Nisan,0.6443
DEALER 17,White2,5,Mayıs,0.3221
DEALER 17,White2,6,Haziran,0.4832
DEALER 17,White2,7,Temmuz,1.4497
DEALER 17,White2,8,Ağustos,1.7718
DEALER 17,White2,9,Eylül,1.7718
DEALER 17,White2,10,Ekim,2.7383
DEALER 17,White2,11,Kasım,0.3221
DEALER 17,White2,12,Aralık,1.2886
DEALER 17,Black1,1,Ocak,1.9091
DEALER 17,Black1,2,Şubat,2.4545
DEALER 17,Black1,3,Mart,2.3182
DEALER 17,Black1,4,Nisan,0.5455
DEALER 17,Black1,5,Mayıs,0.9545
DEALER 17,Black1,6,Haziran,0.5455
DEALER 17,Black1,7,Temmuz,0.5455
DEALER 17,Black1,8,Ağustos,0.6818
DEALER 17,Black1,9,Eylül,0.4091
DEALER 17,Black1,10,Ekim,0.2727
DEALER 17,Black1,11,Kasım,1.0909
DEALER 17,Black1,12,Aralık,0.2727
DEALER 17,Beige,1,Ocak,0.0
DEALER 17,Beige,2,Şubat,0.64
DEALER 17,Beige,3,Mart,0.0
DEALER 17,Beige,4,Nisan,0.8
DEALER 17,Beige,5,Mayıs,0.0
DEALER 17,Beige,6,Haziran,3.04
DEALER 17,Beige,7,Temmuz,1.12
DEALER 17,Beige,8,Ağustos,1.44
DEALER 17,Beige,9,Eylül,1.44
DEALER 17,Beige,10,Ekim,1.12
DEALER 17,Beige,11,Kasım,0.8
DEALER 17,Beige,12,Aralık,1.6
DEALER 18,Grey2,1,Ocak,1.9726
DEALER 18,Grey2,2,Şubat,2.6301
DEALER 18,Grey2,3,Mart,1.6438
DEALER 18,Grey2,4,Nisan,0.8219
DEALER 18,Grey2,5,Mayıs,0.4932
