Zone Code;Zone Name;Dealer Code;Dealer Name;Sales Channel;Channel Description;Channel Group;City;District;Shipping Completed;VIN;Şasi;Model Description;Vehicle Version;Vehicle Code;Model Yılı;Connection Date;Deferred Delivery;Connection Status;Estimated Production Date;Customer Delivery Date;Sales Date;Sales Time;Final Customer Invoice Date;Brand;Exterior Color Type;Exterior Color;Interior Color;Invoice Date;Sales Type;Sales Type Description;Estimated Vessel Arrival Date;Estimated Delivery Date
J00;NORTHSTAR ZONE;BA-3-EGE-03;DEALER 21;RE;Retail;B2C SALES;MUĞLA;BODRUM;Y;ZAC5JBCE1SJL97494;SJL97494;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-09;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;SİNCAN;N;ZACNJBCE7TJM35621;TJM35621;A1;A1V01;K2;2025;2025-11-29;NO;Delivery;W45/11/2025;2025-12-07;2025-11-29 00:00:00;1900-01-00;2025-11-29;NORTHSTAR;Color;White2;IG1b;2025-11-28;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-MAR-07;DEALER 17;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;BEYLİKDÜZÜ;N;ZACNJBCE8TJM35627;TJM35627;A1;A1V01;K2;2025;2025-11-28;NO;Delivery;W45/11/2025;2025-12-07;2025-11-29 00:00:00;1900-01-00;2025-11-29;NORTHSTAR;Color;White2;IG1b;2025-11-28;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RS;Additional Discounted Retail;B2C SALES;ANKARA;ÇANKAYA;N;ZACNJBCE2TJM35624;TJM35624;A1;A1V01;K2;2025;2025-11-29;NO;Delivery;W45/11/2025;2025-12-07;2025-11-29 00:00:00;1900-01-00;2025-11-29;NORTHSTAR;Color;White2;IG1b;2025-11-28;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-MAR-08;DEALER 18;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ÜMRANİYE;N;ZACNJBCE3TJM35664;TJM35664;A1;A1V01;K2;2025;2025-11-11;NO;Delivery;W45/11/2025;2025-12-07;2025-11-29 00:00:00;1900-01-00;2025-11-29;NORTHSTAR;Color;White2;IG1b;2025-11-28;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ÜMRANİYE;N;ZACNJBCE7TJM35618;TJM35618;A1;A1V01;K2;2025;2025-11-27;NO;Delivery;W45/11/2025;2025-12-08;2025-11-30 00:00:00;1900-01-00;2025-11-30;NORTHSTAR;Color;White2;IG1b;2025-11-28;RE;Retail;;31.12.2025
001;1 BOLGE - NORTHSTAR;BA-3-EGE-01;DEALER 2;RS;Additional Discounted Retail;B2C SALES;İZMİR;KONAK;N;ZACNJBCE0TJM35427;TJM35427;A1;A1V01;K2;2025;2025-11-29;NO;Delivery;W45/11/2025;2025-12-08;2025-11-30 00:00:00;1900-01-00;2025-11-30;NORTHSTAR;Color;Grey1;IG1b;2025-11-30;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;BEŞİKTAŞ;Y;ZACNJBCEXTJM35130;TJM35130;A1;A1V01;K2;2025;2025-11-17;NO;Delivery;W43/10/2025;2025-12-05;2025-11-26 00:00:00;1900-01-00;2025-11-26;NORTHSTAR;Color;Grey1;IG1b;2025-11-20;RE;Retail;;30.11.2025
J00;NORTHSTAR ZONE;BA-3-MAR-06;DEALER 16;RE;Retail;B2C SALES;İSTANBUL;ESENYURT;N;ZACNJBCE3TJM35471;TJM35471;A1;A1V01;K2;2025;2025-11-30;NO;Delivery;W45/11/2025;2025-12-09;2025-11-30 00:00:00;1900-01-00;2025-11-30;NORTHSTAR;Color;Grey1;IG1b;2025-11-28;RE;Retail;;31.12.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;KADIKÖY;Y;ZACNJBCE1TJM35128;TJM35128;A1;A1V01;K2;2025;2025-11-14;NO;Delivery;W43/10/2025;2025-12-06;2025-11-28 00:00:00;1900-01-00;2025-11-28;NORTHSTAR;Color;Grey1;IG1b;2025-11-20;RE;Retail;;30.11.2025
J00;NORTHSTAR ZONE;BA-3-KAR-01;DEALER 20;FL;Fleet;B2C SALES;İSTANBUL;BEŞİKTAŞ;Y;ZACNJBCE9TJM35135;TJM35135;A1;A1V01;K2;2025;2025-11-27;NO;Delivery;W43/10/2025;2025-12-09;2025-11-30 00:00:00;1900-01-00;2025-11-30;NORTHSTAR;Color;Grey1;IG1b;2025-11-30;F4;Fiat Individual Rental;;30.11.2025
J00;NORTHSTAR ZONE;BA-3-KAR-01;DEALER 20;FL;Fleet;B2C SALES;İSTANBUL;BEŞİKTAŞ;Y;ZACNJBCE3TJM35132;TJM35132;A1;A1V01;K2;2025;2025-11-27;NO;Delivery;W43/10/2025;2025-12-09;2025-11-30 00:00:00;1900-01-00;2025-11-30;NORTHSTAR;Color;Grey1;IG1b;2025-11-30;F4;Fiat Individual Rental;;30.11.2025
J00;NORTHSTAR ZONE;BA-3-AKD-02;DEALER 4;RS;Additional Discounted Retail;B2C SALES;MERSİN;AKDENİZ;Y;ZACNJBCEXTJM35144;TJM35144;A1;A1V01;K2;2025;2025-11-12;NO;Delivery;W43/10/2025;2025-11-28;2025-11-24 00:00:00;1900-01-00;2025-11-24;NORTHSTAR;Color;Grey1;IG1b;2025-11-20;RE;Retail;;30.11.2025
J00;NORTHSTAR ZONE;BA-3-MAR-08;DEALER 18;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ŞİLE;N;ZACNJBCE9TJM35426;TJM35426;A1;A1V01;K2;2025;2025-11-11;NO;Delivery;W45/11/2025;2025-12-07;2025-11-29 00:00:00;1900-01-00;2025-11-29;NORTHSTAR;Color;Grey1;IG1b;2025-11-28;RE;Retail;;31.12.2025
